CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOME16CAT,INCOME,RINCOM16CAT,RINCOME,EDUC,SPEDUC,PAEDUC,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,PAWRKSLF,MAWRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,PARTYID2,POLVIEWS,POLVIEWS3,POLVIEWS2,CAPPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,ELECTRON,VIRUSES,BIGBANG,CONDRIFT,EVOLVED,JOBLOSE,JOBFIND,SATJOB,RICHWORK,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL,CONFINAN,CONBUS,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONJUDGE,CONLEGIS,COURTS,GRASS,RANK,SATFIN,FINALTER,GRANBORN,HOMPOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62467,1,43,1,5,0,,1,1,2,2,,,,,14,,12,12,2,,1,1,3,,,,2,2,2,2,3,5,3,3,6,3,3,1,1,,,,,1,2,1,1,1,1,1,2,1,2,4,1,1,1,4,2,,2,2,,,,,,,,,,,,,,2,,4,3,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62468,2,74,1,4,3,21,1,1,2,,16,32500,,,10,,0,8,1,,0,0,5,,,,2,2,2,2,,2,2,,,,,2,1,7,3,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62469,1,42,1,1,2,35,2,1,3,1,25,160000,22,100000,16,14,12,16,3,2,1,3,1,1,40,40,2,1,2,2,1,4,2,,5,3,3,1,,3,4,5,3,,2,1,1,1,2,1,0,1,1,4,2,2,,5,1,1,,,2,4,3,2,3,2,2,2,3,3,1,1,3,2,1,5,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62470,2,63,1,1,2,32,2,1,3,1,26,180000,23,120000,16,14,16,12,3,2,3,1,1,1,40,40,2,2,,2,1,2,2,,4,2,,2,,5,2,4,2,,0,0,0,0,0,0,0,0,0,4,3,1,,1,1,1,,,2,2,2,3,2,2,3,3,2,3,3,1,3,2,2,4,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62471,1,71,2,3,0,,1,1,4,,26,180000,,,18,,12,12,4,,1,1,5,,,,2,2,2,2,,6,3,3,7,3,3,2,1,6,4,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,2,,1,2,2,4,1,4,1,1,2,2,2,3,1,1,3,2,2,5,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62472,2,67,1,2,2,27,1,1,2,1,,,,,16,,12,12,3,,1,1,5,,,,2,2,2,2,10,2,2,,3,1,1,1,1,,,,,1,2,1,1,1,8,2,0,1,0,,,,,1,3,,2,2,,,,,,,,,,,,,,1,,5,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62473,2,59,2,3,6,18,2,1,2,,12,18750,12,18750,13,,,6,1,,,0,1,,35,,2,,2,1,,0,1,1,4,2,,1,1,5,3,2,1,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,,2,2,2,4,2,1,1,2,1,2,2,2,1,2,3,1,1,7,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62474,1,43,1,5,0,,1,1,2,,19,55000,17,37500,12,,,12,1,,,1,1,,89,,2,,2,2,,5,3,3,5,3,3,1,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,,1,3,2,4,2,1,3,2,3,3,2,3,2,2,2,2,1,5,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62475,2,62,1,2,4,17,1,1,1,2,5,5500,2,2000,8,,12,12,0,,1,1,1,,40,,1,1,1,2,4,3,2,,4,2,,1,,3,1,3,2,,2,1,2,1,1,2,0,1,0,3,3,2,,1,3,,,,2,4,5,1,2,2,3,2,2,2,2,3,3,1,1,9,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62476,1,55,1,1,2,30,1,1,3,1,22,100000,22,100000,12,11,6,20,1,1,0,4,1,7,40,,2,2,2,2,2,1,1,1,,,,1,,3,2,2,2,,0,0,0,0,0,0,0,0,0,4,2,2,,4,2,2,,,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,3,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
